fellow_name,citing_paper,cited_my_paper,citing_paper_year,citing_paper_link,matched_author_name,fellow_source
Jie Yang,BoxDreamer: Dreaming Box Corners for Generalizable Object Pose Estimation,OV9D: Open-Vocabulary Category-Level 9D Object Pose and Size Estimation,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Yu_BoxDreamer_Dreaming_Box_Corners_for_Generalizable_Object_Pose_Estimation_ICCV_2025_paper.html,Jie Yang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Jiming Chen,Visual-tactile pretraining and online multitask learning for humanlike manipulation dexterity,NRRL: Rearrangement with Nonprehensile Manipulation Using Deep Reinforcement Learning,2026,https://www.science.org/doi/abs/10.1126/scirobotics.ady2869,Jiming Chen,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Jie Yang,Haisor: Human-aware Indoor Scene Optimization via Deep Reinforcement Learning,NRRL: Rearrangement with Nonprehensile Manipulation Using Deep Reinforcement Learning,2024,https://dl.acm.org/doi/abs/10.1145/3632947,Jie Yang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Danica Kragic,End-to-end nonprehensile rearrangement with deep reinforcement learning and simulation-to-reality transfer,NRRL: Rearrangement with Nonprehensile Manipulation Using Deep Reinforcement Learning,2019,https://www.sciencedirect.com/science/article/pii/S0921889018304913,Danica Kragić,https://www.ieee-ras.org/images/attachments/awards/RAS_Fellow_listing_2025.pdf
Antonella Ferrara,Shared control of robot manipulators with obstacle avoidance: A deep reinforcement learning approach,NRRL: Rearrangement with Nonprehensile Manipulation Using Deep Reinforcement Learning,2023,https://ieeexplore.ieee.org/abstract/document/10015627/,Antonella Ferrara,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Control_Systems_Society
Danica Kragic,Pushing everything everywhere all at once: Probabilistic prehensile pushing,NRRL: Rearrangement with Nonprehensile Manipulation Using Deep Reinforcement Learning,2025,https://ieeexplore.ieee.org/abstract/document/10930575/,Danica Kragić,https://www.ieee-ras.org/images/attachments/awards/RAS_Fellow_listing_2025.pdf
Danica Kragic,Reinforcement learning in topology-based representation for human body movement with whole arm manipulation,NRRL: Rearrangement with Nonprehensile Manipulation Using Deep Reinforcement Learning,2019,https://ieeexplore.ieee.org/abstract/document/8794160/,Danica Kragić,https://www.ieee-ras.org/images/attachments/awards/RAS_Fellow_listing_2025.pdf
Fan Bai,[HTML] Hierarchical policy with deep-reinforcement learning for nonprehensile multiobject rearrangement,NRRL: Rearrangement with Nonprehensile Manipulation Using Deep Reinforcement Learning,2022,https://www.sciencedirect.com/science/article/pii/S2667379722000134,Fan Bai,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Fan Bai,Hierarchical policy for non-prehensile multi-object rearrangement with deep reinforcement learning and Monte Carlo tree search,NRRL: Rearrangement with Nonprehensile Manipulation Using Deep Reinforcement Learning,2021,https://arxiv.org/abs/2109.08973,Fan Bai,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Huijun Gao,"Humanoid locomotion and manipulation: Current progress and challenges in control, planning, and learning",TPRL: Reinforcement Learning in Topology-based Representation for Human Body Movement with Whole Arm Manipulation,2026,https://ieeexplore.ieee.org/abstract/document/11456437/,Huijun Gao,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Control_Systems_Society
Danica Kragic,End-to-end nonprehensile rearrangement with deep reinforcement learning and simulation-to-reality transfer,TPRL: Reinforcement Learning in Topology-based Representation for Human Body Movement with Whole Arm Manipulation,2019,https://www.sciencedirect.com/science/article/pii/S0921889018304913,Danica Kragić,https://www.ieee-ras.org/images/attachments/awards/RAS_Fellow_listing_2025.pdf
Wei ZHang,A review of Rescue Methods After Intelligent Rescue Equipment Approaches a Drowning Person,TPRL: Reinforcement Learning in Topology-based Representation for Human Body Movement with Whole Arm Manipulation,2026,https://hrcak.srce.hr/clanak/495663,Wei Zhang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Bo Li,The second monocular depth estimation challenge,SMMV: Stereo Matching by Self-supervision of Multiscopic Vision,2023,https://openaccess.thecvf.com/content/CVPR2023W/MDEC/html/Spencer_The_Second_Monocular_Depth_Estimation_Challenge_CVPRW_2023_paper.html,Bo Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Yu Wang,SAFT: Real-Time Tracking and Mapping With Self-Supervised Robust Stereo Matching for Underwater Vehicles,SMMV: Stereo Matching by Self-supervision of Multiscopic Vision,2025,https://ieeexplore.ieee.org/abstract/document/11239517/,Yu Wang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Shuo Wang,SAFT: Real-Time Tracking and Mapping With Self-Supervised Robust Stereo Matching for Underwater Vehicles,SMMV: Stereo Matching by Self-supervision of Multiscopic Vision,2025,https://ieeexplore.ieee.org/abstract/document/11239517/,Shuo Wang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Electromagnetic_Compatibility_Society
Bo Li,[PDF] The Second Monocular Depth Estimation Challenge,SMMV: Stereo Matching by Self-supervision of Multiscopic Vision,2023,https://openresearch.surrey.ac.uk/view/pdfCoverPage?instCode=44SUR_INST&filePid=13181480840002346&download=true,Bo Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Jingdong Wang,Visual object tracking across diverse data modalities: A review,CycleSiam: Self-supervised Object Tracking with Cycle-consistent Siamese Networks,2024,https://arxiv.org/abs/2412.09991,Jingdong Wang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Yong Liu,Visual object tracking across diverse data modalities: A review,CycleSiam: Self-supervised Object Tracking with Cycle-consistent Siamese Networks,2024,https://arxiv.org/abs/2412.09991,Yong Liu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Li Xu,Exploiting temporal coherence for self-supervised visual tracking by using vision transformer,CycleSiam: Self-supervised Object Tracking with Cycle-consistent Siamese Networks,2022,https://www.sciencedirect.com/science/article/pii/S095070512200661X,Li Xu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Bing Liu,Unsupervised RGB-T object tracking with attentional multi-modal feature fusion,CycleSiam: Self-supervised Object Tracking with Cycle-consistent Siamese Networks,2023,https://link.springer.com/article/10.1007/s11042-023-14362-9,Bing Liu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Li Xu,Consistency-based self-supervised visual tracking by using query-communication transformer,CycleSiam: Self-supervised Object Tracking with Cycle-consistent Siamese Networks,2023,https://www.sciencedirect.com/science/article/pii/S0950705123005993,Li Xu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Laurence Tianruo Yang,Mulsmo: Multimodal stylized motion generation by bidirectional control flow,"LaMP: Language-Motion Pretraining for Motion Generation, Retrieval, and Captioning",2024,https://arxiv.org/abs/2412.09901,Laurence Tianruo Yang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Jie Chen,LaMoGen: Language to Motion Generation Through LLM-Guided Symbolic Inference,"LaMP: Language-Motion Pretraining for Motion Generation, Retrieval, and Captioning",2026,https://openaccess.thecvf.com/content/CVPR2026/html/Jiang_LaMoGen_Language_to_Motion_Generation_Through_LLM-Guided_Symbolic_Inference_CVPR_2026_paper.html,Jie Chen,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Jingyi Yu,Mojito: LLM-Aided Motion Instructor with Jitter-Reduced Inertial Tokens,"LaMP: Language-Motion Pretraining for Motion Generation, Retrieval, and Captioning",2025,https://arxiv.org/abs/2502.16175,Jingyi Yu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Xin Liu,GeoMotionGPT: Geometry-Aligned Motion Understanding with Large Language Models,"LaMP: Language-Motion Pretraining for Motion Generation, Retrieval, and Captioning",2026,https://arxiv.org/abs/2601.07632,Xin Liu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Liang Wang,MotionRFT: Unified Reinforcement Fine-Tuning for Text-to-Motion Generation,"LaMP: Language-Motion Pretraining for Motion Generation, Retrieval, and Captioning",2026,https://arxiv.org/abs/2603.27185,Liang Wang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Rong Qu,"MotionMERGE: A Multi-granular Framework for Human Motion Editing, Reasoning, Generation, and Explanation","LaMP: Language-Motion Pretraining for Motion Generation, Retrieval, and Captioning",2026,https://arxiv.org/abs/2605.18956,Rong Qu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computational_Intelligence_Society
Irfan Essa,MoCHA: Denoising Caption Supervision for Motion-Text Retrieval,"LaMP: Language-Motion Pretraining for Motion Generation, Retrieval, and Captioning",2026,https://arxiv.org/abs/2603.23684,Irfan Essa,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
